Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Review Rating,Subscription Status,Payment Method,Discount Applied
1,,Male,Blouse,Clothing,53,3.1,Yes,Credit Card,Yes
2,19.0,Male,,Clothing,64,,Yes,Bank Transfer,Yes
3,,,Jeans,Clothing,73,,Yes,Cash,Yes
4,21.0,Male,Sandals,45,90,,Yes,PayPal,Yes
5,45.0,,Blouse,Clothing,49,2.7,Yes,Cash,Yes
6,1970-01-01 00:00:10,Male,Sneakers,Footwear,20,2.9,Yes,Venmo,Yes
7,63.0,,Shirt,Clothing,85,3.2,Yes,Debit Card,Yes
8,27.0,Male,Shorts,Clothing,34,3.2,Yes,Debit Card,Yes
9,26.0,Male,Coat,Outerwear,97,,Yes,Venmo,Yes
10,57.0,Male,Handbag,Accessories,31,,Yes,PayPal,Yes
11,53.0,Male,Shoes,Footwear,34,4.1,Yes,Credit Card,Yes
12,30.0,Male,,Clothing,68,,Yes,PayPal,Yes
13,61.0,Male,Coat,Outerwear,72,,Yes,,Yes
14,65.0,Male,Dress,Clothing,51,4.7,Yes,Debit Card,Yes
15,Male,Male,Coat,Outerwear,53,,Yes,,Yes
16,64.0,Male,Skirt,Clothing,81,,Yes,Credit Card,Yes
17,25.0,Male,Sunglasses,Accessories,36,4.1,Yes,Venmo,Yes
18,53.0,Male,Dress,Clothing,38,,Yes,Debit Card,Yes
19,52.0,Male,Sweater,Clothing,48,4.6,Yes,,Yes
20,,Male,Pants,Clothing,90,3.3,Yes,,Yes
21,,,Pants,Clothing,51,2.8,Yes,Credit Card,Yes
22,31.0,Male,Pants,Clothing,62,4.1,Yes,Credit Card,Yes
23,,,Pants,Clothing,37,3.2,Yes,Cash,Yes
24,31.0,Male,Pants,Clothing,88,4.4,Yes,Credit Card,Yes
25,18.0,Male,Jacket,Outerwear,22,,Yes,Cash,Yes
26,18.0,Male,Hoodie,Clothing,25,,Yes,Bank Transfer,Yes
27,38.0,Male,,Accessories,20,3.6,Yes,Cash,Yes
28,56.0,Male,Shorts,Clothing,56,5.0,Yes,Debit Card,Yes
29,54.0,Male,Handbag,Accessories,94,4.4,Yes,Debit Card,Yes
30,31.0,Male,Dress,Clothing,48,,Yes,Venmo,Yes
31,57.0,Male,Jewelry,Accessories,31,,Yes,,Yes
32,33.0,Male,,Clothing,79,4.7,Yes,Venmo,Yes
33,36.0,,Jacket,Outerwear,67,4.9,Yes,Bank Transfer,Yes
34,54.0,Male,Pants,Clothing,38,,Yes,Venmo,Yes
35,36.0,,T-shirt,Clothing,91,4.6,Yes,Debit Card,Yes
36,54.0,Male,Blouse,Clothing,33,4.0,Yes,Bank Transfer,Yes
37,35.0,Male,T-shirt,Clothing,69,4.6,Yes,,Yes
38,35.0,Male,Jeans,Clothing,45,2.8,Yes,Debit Card,Yes
39,29.0,,Dress,Clothing,37,3.7,Yes,Debit Card,Yes
40,70.0,Male,Pants,Clothing,60,4.2,Yes,Bank Transfer,Yes
41,69.0,Male,Handbag,Accessories,76,4.6,Yes,PayPal,Yes
42,67.0,Male,Scarf,Accessories,39,,Yes,Cash,Yes
43,,Male,Coat,Outerwear,100,,Yes,Bank Transfer,Yes
44,25.0,Male,,Accessories,69,3.7,Yes,PayPal,Yes
45,39.0,,Hat,Accessories,53,4.6,Yes,Bank Transfer,Yes
46,50.0,,Socks,Clothing,21,,Yes,Venmo,Yes
47,57.0,,Shirt,Clothing,43,2.9,Yes,,Yes
48,55.0,Male,Jewelry,Accessories,54,,Yes,Debit Card,Yes
49,42.0,Male,,Clothing,55,,Yes,Debit Card,Yes
50,68.0,Male,Hoodie,Clothing,30,4.6,Yes,Bank Transfer,Yes
51,49.0,Male,Blouse,Clothing,28,3.7,Yes,,Yes
52,59.0,Male,Skirt,Clothing,59,,Yes,PayPal,Yes
53,42.0,Male,T-shirt,Clothing,20,2.6,Yes,Credit Card,Yes
54,29.0,Male,Skirt,Clothing,24,3.9,Yes,Debit Card,Yes
55,47.0,Male,Coat,Outerwear,94,4.2,Yes,,Yes
56,40.0,Male,Jacket,Outerwear,28,3.0,Yes,Venmo,Yes
57,41.0,Male,Backpack,Accessories,73,4.7,Yes,PayPal,Yes
58,,Male,,Outerwear,64,4.4,Yes,PayPal,Yes
59,69.0,Male,Hoodie,Clothing,54,4.2,Yes,,Yes
60,63.0,Male,Belt,Accessories,79,4.6,Yes,,Yes
61,50.0,Male,,Clothing,37,4.0,Yes,Credit Card,Yes
62,55.0,,Scarf,Accessories,68,4.7,Yes,Bank Transfer,Yes
63,30.0,Male,Sneakers,Footwear,21,3.8,Yes,,Yes
64,33.0,Male,Sunglasses,Accessories,79,2.7,Yes,Credit Card,Yes
65,65.0,Male,Boots,Footwear,83,4.8,Yes,,Yes
66,65.0,Male,Backpack,Accessories,36,4.8,Yes,Credit Card,Yes
67,31.0,Male,Blouse,Clothing,94,4.7,Yes,Bank Transfer,Yes
68,45.0,Male,Coat,Outerwear,33,4.4,Yes,,Yes
69,57.0,Male,Handbag,Accessories,46,3.9,Yes,Credit Card,Yes
70,48.0,,Belt,Accessories,70,4.4,Yes,Credit Card,Yes
71,22.0,Male,Belt,Accessories,29,4.2,Yes,Credit Card,Yes
72,36.0,Male,Dress,Clothing,48,2.9,Yes,Debit Card,Yes
73,18.0,Male,,Clothing,26,2.9,Yes,Debit Card,Yes
74,48.0,,Pants,Clothing,85,,Yes,,Yes
75,49.0,Male,Gloves,Accessories,58,4.5,Yes,PayPal,Yes
76,64.0,Male,Scarf,Accessories,85,,Yes,Debit Card,Yes
77,50.0,Male,,Accessories,43,4.2,Yes,Bank Transfer,Yes
78,22.0,Male,,Clothing,53,3.3,Yes,Debit Card,Yes
79,50.0,Male,Skirt,Clothing,91,4.7,Yes,Venmo,Yes
80,38.0,Male,Jacket,Outerwear,96,,Yes,Bank Transfer,Yes
81,19.0,,Sandals,Footwear,72,,Yes,Credit Card,Yes
82,,Male,Shoes,Footwear,96,,Yes,PayPal,Yes
83,19.0,Male,Pants,Clothing,28,,Yes,Bank Transfer,Yes
84,36.0,Male,,Clothing,40,,Yes,,Yes
85,52.0,,,Outerwear,32,4.4,Yes,Cash,Yes
86,53.0,Male,Sunglasses,Accessories,95,4.5,Yes,Credit Card,Yes
87,24.0,Male,Hoodie,Clothing,41,3.7,Yes,Venmo,Yes
88,52.0,Male,Shoes,Footwear,53,3.7,Yes,Debit Card,Yes
89,33.0,,T-shirt,Clothing,47,3.5,Yes,Credit Card,Yes
90,47.0,Male,,Outerwear,83,3.6,Yes,,Yes
91,25.0,,Hat,Accessories,48,2.9,Yes,Venmo,Yes
92,44.0,,Scarf,Accessories,99,,Yes,PayPal,Yes
93,61.0,Male,Jacket,Outerwear,87,,Yes,Cash,Yes
94,37.0,Male,Sweater,Clothing,62,4.5,Yes,PayPal,Yes
95,58.0,Male,Skirt,Clothing,76,4.6,Yes,Bank Transfer,Yes
96,37.0,Male,,Footwear,100,3.8,Yes,,Yes
97,32.0,Male,,Accessories,73,3.6,Yes,Venmo,Yes
98,21.0,Male,Shoes,Footwear,92,,Yes,PayPal,Yes
99,20.0,Male,Jeans,Clothing,67,2.6,Yes,Cash,Yes
100,26.0,Male,Hoodie,Clothing,40,3.7,Yes,,Yes
101,62.0,Male,Sunglasses,Accessories,98,2.7,Yes,PayPal,Yes
102,27.0,,,Outerwear,85,4.6,Yes,Venmo,Yes
103,51.0,,,Clothing,67,,Yes,Credit Card,Yes
104,54.0,Male,Boots,Footwear,89,4.0,Yes,Debit Card,Yes
105,55.0,Male,,Accessories,24,,Yes,Bank Transfer,Yes
106,69.0,Male,Backpack,Accessories,96,,Yes,Bank Transfer,Yes
